[2018-09-03 18:26:44.286] Starting up round ID 2160.
[2018-09-03 18:26:44.286] -------------------------
[2018-09-03 18:45:59.671] ATTACK: [power cable] has electrocuted Davidththird/(Tyron Jamal) (NEWHP: 86)  (Central Primary Hallway (112, 143, 2))
[2018-09-03 18:46:00.174] ATTACK: Greyjir/(Cole Vader) has attacked [fire axe cabinet] with [hatchet] (Bridge (111, 134, 2))
[2018-09-03 18:46:01.087] ATTACK: Greyjir/(Cole Vader) has attacked [fire axe cabinet] with [hatchet] (Bridge (111, 134, 2))
[2018-09-03 18:46:01.871] ATTACK: Greyjir/(Cole Vader) has attacked [fire axe cabinet] with [hatchet] (Bridge (111, 134, 2))
[2018-09-03 18:46:02.824] ATTACK: Greyjir/(Cole Vader) has attacked [fire axe cabinet] with [hatchet] (Bridge (111, 134, 2))
[2018-09-03 18:46:03.661] ATTACK: Greyjir/(Cole Vader) has attacked [fire axe cabinet] with [hatchet] (Bridge (111, 134, 2))
[2018-09-03 18:46:04.441] ATTACK: Greyjir/(Cole Vader) has attacked [fire axe cabinet] with [hatchet] (Bridge (110, 134, 2))
[2018-09-03 18:46:06.693] ATTACK: Greyjir/(Cole Vader) has attacked [fire axe cabinet] with [hatchet] (Bridge (111, 134, 2))
[2018-09-03 18:46:08.085] ATTACK: Greyjir/(Cole Vader) has attacked [fire axe cabinet] with [hatchet] (Bridge (110, 134, 2))
[2018-09-03 18:46:09.480] ATTACK: Greyjir/(Cole Vader) has attacked [fire axe cabinet] with [hatchet] (Bridge (110, 134, 2))
[2018-09-03 18:46:10.329] ATTACK: Greyjir/(Cole Vader) has attacked [fire axe cabinet] with [hatchet] (Bridge (110, 134, 2))
[2018-09-03 18:46:11.300] ATTACK: Greyjir/(Cole Vader) has attacked [fire axe cabinet] with [hatchet] (Bridge (110, 134, 2))
[2018-09-03 18:46:12.082] ATTACK: Greyjir/(Cole Vader) has attacked [fire axe cabinet] with [hatchet] (Bridge (110, 134, 2))
[2018-09-03 18:46:12.984] ATTACK: Greyjir/(Cole Vader) has attacked [fire axe cabinet] with [hatchet] (Bridge (110, 134, 2))
[2018-09-03 18:46:13.980] ATTACK: Greyjir/(Cole Vader) has attacked [fire axe cabinet] with [hatchet] (Bridge (110, 134, 2))
[2018-09-03 18:46:14.862] ATTACK: Greyjir/(Cole Vader) has attacked [fire axe cabinet] with [hatchet] (Bridge (110, 134, 2))
[2018-09-03 18:46:25.734] ATTACK: Greyjir/(Cole Vader) has climbed onto [reinforced table] (Bridge (108, 137, 2))
[2018-09-03 18:46:25.927] ATTACK: [power cable] has electrocuted Davidththird/(Tyron Jamal) (NEWHP: 86)  (Central Primary Hallway (112, 143, 2))
[2018-09-03 18:46:42.863] ATTACK: [power cable] has electrocuted Davidththird/(Tyron Jamal) (NEWHP: 86)  (Central Primary Hallway (112, 142, 2))
[2018-09-03 18:46:46.949] ATTACK: [power cable] has electrocuted Davidththird/(Tyron Jamal) (NEWHP: 86)  (Central Primary Hallway (114, 142, 2))
[2018-09-03 18:47:17.290] ATTACK: Davidththird/(Tyron Jamal) has attacked [navigation beacon] with [wrench] (Central Primary Hallway (111, 141, 2))
[2018-09-03 18:47:18.159] ATTACK: 1234brendan/(Gerardo Paulson) has attacked Davidththird/(Tyron Jamal) with floor tile[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 80)  (Central Primary Hallway (111, 140, 2))
[2018-09-03 18:47:24.893] ATTACK: Davidththird/(Tyron Jamal) has attacked [navigation beacon] with [pocket crowbar] (Central Primary Hallway (113, 141, 2))
[2018-09-03 18:47:31.642] ATTACK: 1234brendan/(Gerardo Paulson) has leg sweeped Davidththird/(Tyron Jamal) (NEWHP: 75)  (Central Primary Hallway (113, 141, 2))
[2018-09-03 18:49:23.482] ATTACK: APersonsName222/(Pavlo Asterton) has attacked [miner's equipment] with [proto-kinetic accelerator] (Mining Dock (89, 106, 2))
[2018-09-03 18:50:13.659] ATTACK: APersonsName222/(Pavlo Asterton) has punched APersonsName222/(Pavlo Asterton) (NEWHP: 77.6)  (Mining Shuttle (78, 106, 2))
[2018-09-03 18:51:57.654] ATTACK: Davidththird/(Tyron Jamal) has attacked [disposal pipe] with [wrench] (Central Primary Hallway (107, 112, 2))
[2018-09-03 18:51:58.763] ATTACK: Davidththird/(Tyron Jamal) has attacked [disposal pipe] with [wrench] (Central Primary Hallway (107, 112, 2))
[2018-09-03 18:51:59.907] ATTACK: Davidththird/(Tyron Jamal) has attacked [disposal pipe] with [wrench] (Central Primary Hallway (107, 112, 2))
[2018-09-03 18:52:02.326] ATTACK: Davidththird/(Tyron Jamal) has attacked [disposal pipe] with [pocket crowbar] (Central Primary Hallway (107, 112, 2))
[2018-09-03 18:52:38.645] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:52:40.206] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:52:41.705] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:52:42.910] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:52:44.204] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:52:46.120] ATTACK: Davidththird/(Tyron Jamal) has thrown the pen (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:52:48.205] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:52:49.650] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:52:50.763] ATTACK: 1234brendan/(Gerardo Paulson) has climbed onto [table] (Security Post - Cargo Bay (92, 114, 2))
[2018-09-03 18:52:51.002] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:52:52.266] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:52:53.704] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:52:55.004] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:52:56.477] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:53:01.399] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:53:02.747] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:53:04.018] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:53:05.324] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:53:07.435] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:53:08.667] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:53:11.121] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (176, 127, 2))
[2018-09-03 18:53:14.778] ATTACK: Davidththird/(Tyron Jamal) has climbed onto [reinforced table] (Robotics Lab (176, 126, 2))
[2018-09-03 18:53:25.278] ATTACK: Davidththird/(Tyron Jamal) has climbed onto [reinforced table] (Robotics Lab (176, 126, 2))
[2018-09-03 18:54:18.218] ATTACK: APersonsName222/(Pavlo Asterton) has shot *no key*/(legion) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (93, 53, 5))
[2018-09-03 18:54:19.278] ATTACK: *no key*/(legion) has attacked APersonsName222/(Pavlo Asterton) (NEWHP: 89.6)  (Lavaland Wastes (93, 52, 5))
[2018-09-03 18:54:21.286] ATTACK: *no key*/(legion) has attacked APersonsName222/(Pavlo Asterton) (NEWHP: 81.2)  (Lavaland Wastes (93, 52, 5))
[2018-09-03 18:54:21.756] ATTACK: APersonsName222/(Pavlo Asterton) has attacked *no key*/(legion) with proto-kinetic accelerator[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (93, 53, 5))
