[2018-08-18 15:41:56.781] Starting up round ID 1985.
[2018-08-18 15:41:56.781] -------------------------
[2018-08-18 15:56:07.422] ATTACK: AzlanonPc/(Jetra Norlan) has attacked AzlanonPc/(Jetra Norlan) with fulton extraction pack[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 58.375)  (Lavaland Wastes (148, 29, 5))
[2018-08-18 15:56:07.828] ATTACK: Red Axolotl/(Breaks-The-Bad) has climbed onto [crate] (Mining Dock (83, 106, 2))
[2018-08-18 15:56:57.265] ATTACK: ChippedIce/(Hana Robusto) has thrown the personal AI device (Xenobiology Lab (169, 102, 2))
[2018-08-18 15:57:07.666] ATTACK: Wicker0/(Harlow Moriarty) has attacked [pylon] with [proto-kinetic crusher (Wielded)] (Unexplored Location (155, 42, 5))
[2018-08-18 15:57:17.276] ATTACK: Wicker0/(Harlow Moriarty) has shot *no key*/(ash drake) with [destabilizing force] (NEWHP: 2500)  (Lavaland Wastes (158, 37, 5))
[2018-08-18 15:58:05.041] ATTACK: Red Axolotl/(Breaks-The-Bad) has grabbed Stoica00/(Dmitry Alexander) passive grab (NEWHP: 88.75)  (Starboard Primary Hallway (178, 128, 2))
[2018-08-18 15:58:11.366] ATTACK: Wicker0/(Harlow Moriarty) has shot *no key*/(undead eskimo) with [destabilizing force] (NEWHP: 55)  (Unexplored Location (124, 100, 5))
[2018-08-18 15:58:13.610] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(undead eskimo) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 35)  (Unexplored Location (124, 100, 5))
[2018-08-18 15:58:15.733] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(undead eskimo) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 15)  (Unexplored Location (125, 99, 5))
[2018-08-18 15:58:16.318] ATTACK: *no key*/(undead eskimo) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 100)  (Unexplored Location (124, 100, 5))
[2018-08-18 15:58:18.319] ATTACK: *no key*/(undead eskimo) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 92.875)  (Unexplored Location (126, 96, 5))
[2018-08-18 15:58:22.328] ATTACK: *no key*/(undead eskimo) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 85.375)  (Unexplored Location (125, 89, 5))
[2018-08-18 15:58:22.331] ATTACK: *no key*/(undead eskimo) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 76.375)  (Unexplored Location (124, 89, 5))
[2018-08-18 15:58:22.481] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(undead eskimo) (NEWHP: 50)  (Unexplored Location (125, 88, 5))
[2018-08-18 15:58:24.316] ATTACK: *no key*/(undead eskimo) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 69.625)  (Unexplored Location (126, 87, 5))
