[2018-09-09 00:12:38.231] Starting up round ID 2217.
[2018-09-09 00:12:38.231] -------------------------
[2018-09-09 00:45:53.704] ATTACK: ChippedIce/(Reed Whiteman) has fired at ChippedIce/(Reed Whiteman) with [practice laser] from Security Office (NEWHP: 100)  (Security Office (122, 181, 2))
[2018-09-09 00:45:53.706] ATTACK: ChippedIce/(Reed Whiteman) has shot ChippedIce/(Reed Whiteman) with [practice laser] (NEWHP: 100)  (Security Office (122, 181, 2))
[2018-09-09 00:45:53.896] ATTACK: BuckyBoy/(Beau Richards) has thrown the tequila Sunrise (Library (176, 133, 2))
[2018-09-09 00:45:54.050] ATTACK: BuckyBoy/(Beau Richards) has splashed (thrown) Tequila Sunrise and Ice [floor] with in Library (176, 137, 2)[DC] (Library (176, 133, 2))
[2018-09-09 00:48:23.537] ATTACK: Jesslynbrooke/(Jess Jenkers) has attacked [book inventory management console] with [curator's whip] (Library (176, 137, 2))
[2018-09-09 00:48:35.352] ATTACK: ChippedIce/(Reed Whiteman) has climbed onto [reinforced table] (Research and Development (184, 126, 2))
[2018-09-09 00:49:38.936] ATTACK: swindel/(Tul-Ullis) has grabbed ChippedIce/(Reed Whiteman) passive grab (NEWHP: 100)  (Starboard Primary Hallway (184, 127, 2))
[2018-09-09 00:50:52.739] ATTACK: swindel/(Tul-Ullis) has grabbed Penginh[DC]/(Alberto Blyant) passive grab (NEWHP: 100)  (Genetics Lab (158, 118, 2))
[2018-09-09 00:51:28.213] ATTACK: swindel/(Tul-Ullis) has grabbed Penginh[DC]/(Alberto Blyant) aggressive grab (NEWHP: 100)  (Engineering (104, 69, 2))
[2018-09-09 00:51:30.963] ATTACK: swindel/(Tul-Ullis) has thrown Penginh[DC]/(Alberto Blyant) grab from tile in Space (104, 66, 2) towards tile at Space (98, 66, 2) (NEWHP: 100)  (Space (104, 66, 2))
[2018-09-09 00:51:30.966] ATTACK: swindel/(Tul-Ullis) has thrown Alberto Blyant (Space (104, 66, 2))
[2018-09-09 00:52:10.183] ATTACK: ChippedIce/(Reed Whiteman) has attacked [emergency closet] with [fire extinguisher] (Starboard Primary Hallway (158, 128, 2))
[2018-09-09 00:52:11.405] ATTACK: ChippedIce/(Reed Whiteman) has attacked [emergency closet] with [fire extinguisher] (Starboard Primary Hallway (158, 128, 2))
[2018-09-09 00:52:12.533] ATTACK: ChippedIce/(Reed Whiteman) has attacked [emergency closet] with [fire extinguisher] (Starboard Primary Hallway (158, 128, 2))
[2018-09-09 00:52:13.677] ATTACK: ChippedIce/(Reed Whiteman) has attacked [emergency closet] with [fire extinguisher] (Starboard Primary Hallway (158, 128, 2))
[2018-09-09 00:52:14.734] ATTACK: ChippedIce/(Reed Whiteman) has attacked [emergency closet] with [fire extinguisher] (Starboard Primary Hallway (158, 128, 2))
[2018-09-09 00:52:15.691] ATTACK: ChippedIce/(Reed Whiteman) has attacked [emergency closet] with [fire extinguisher] (Starboard Primary Hallway (158, 128, 2))
[2018-09-09 00:52:16.803] ATTACK: ChippedIce/(Reed Whiteman) has attacked [emergency closet] with [fire extinguisher] (Starboard Primary Hallway (158, 128, 2))
[2018-09-09 00:52:17.971] ATTACK: ChippedIce/(Reed Whiteman) has attacked [emergency closet] with [fire extinguisher] (Starboard Primary Hallway (158, 128, 2))
[2018-09-09 00:52:33.894] ATTACK: ChippedIce/(Reed Whiteman) has attacked [emergency closet] with [fire extinguisher] (Starboard Primary Hallway (158, 128, 2))
[2018-09-09 00:52:47.013] ATTACK: ChippedIce/(Reed Whiteman) has attacked [wooden table] with [fire extinguisher] (Library (174, 134, 2))
[2018-09-09 00:53:50.836] ATTACK: Jesslynbrooke/(Jess Jenkers) has pushed over ChippedIce/(Reed Whiteman) (NEWHP: 100)  (Library (173, 133, 2))
[2018-09-09 00:53:54.020] ATTACK: Jesslynbrooke/(Jess Jenkers) has shaked ChippedIce/(Reed Whiteman) (NEWHP: 100)  (Library (173, 133, 2))
[2018-09-09 00:54:03.194] ATTACK: ChippedIce/(Reed Whiteman) has attempted to disarm Jesslynbrooke/(Jess Jenkers) (NEWHP: 100)  (Library (172, 132, 2))
[2018-09-09 00:54:21.504] ATTACK: ChippedIce/(Reed Whiteman) has fired at [plating] with [electrode] from Starboard Primary Hallway (Starboard Primary Hallway (158, 128, 2))
[2018-09-09 00:54:23.413] ATTACK: ChippedIce/(Reed Whiteman) has fired at [floor] with [electrode] from Mech Bay (Mech Bay (169, 127, 2))
