[2018-09-10 02:47:14.251] Starting up round ID 2234.
[2018-09-10 02:47:14.252] -------------------------
[2018-09-10 02:59:19.691] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Grodd XVI) with space violin[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: -79.5)  (Kitchen (151, 137, 2))
[2018-09-10 02:59:25.567] ATTACK: CthulhuOnIce/(Declan Judge) has attacked [computer frame] with [wirecutters] (AI Upload Chamber (111, 128, 2))
[2018-09-10 02:59:26.182] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Grodd XVI) with kitchen knife[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: -90)  (Kitchen (151, 137, 2))
[2018-09-10 02:59:27.084] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Grodd XVI) with kitchen knife[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: -98.5)  (Kitchen (151, 137, 2))
[2018-09-10 02:59:27.964] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Grodd XVI) with kitchen knife[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: -108.5)  (Kitchen (151, 137, 2))
[2018-09-10 02:59:29.033] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Grodd XVI) with kitchen knife[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: -118.5)  (Kitchen (151, 137, 2))
[2018-09-10 02:59:30.015] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Grodd XVI) with kitchen knife[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: -128.5)  (Kitchen (151, 137, 2))
[2018-09-10 02:59:31.084] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Grodd XVI) with kitchen knife[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: -128.5)  (Kitchen (151, 137, 2))
[2018-09-10 02:59:32.081] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Grodd XVI) with kitchen knife[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: -128.5)  (Kitchen (151, 137, 2))
[2018-09-10 02:59:32.430] ATTACK: CthulhuOnIce/(Declan Judge) has attacked [computer frame] with [pocket crowbar] (AI Upload Chamber (111, 128, 2))
[2018-09-10 02:59:33.001] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked *no key*/(Grodd XVI) with kitchen knife[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: -136)  (Kitchen (151, 137, 2))
