[2018-08-20 15:19:22.356] Starting up round ID 2019.
[2018-08-20 15:19:22.356] -------------------------
[2018-08-20 15:41:35.106] ATTACK: pandolphina/(Hugo Dickinson) has shot Red Axolotl/(Breaks-The-Bad) with [laser] (NEWHP: 36)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:35.427] ATTACK: pandolphina/(Hugo Dickinson) has fired at Red Axolotl/(Breaks-The-Bad) with [laser] from Aft Primary Hallway (NEWHP: 36)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:35.966] ATTACK: pandolphina/(Hugo Dickinson) has fired at Red Axolotl/(Breaks-The-Bad) with [laser] from Aft Primary Hallway (NEWHP: 36)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:36.447] ATTACK: pandolphina/(Hugo Dickinson) has fired at Red Axolotl/(Breaks-The-Bad) with [laser] from Aft Primary Hallway (NEWHP: 36)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:36.993] ATTACK: pandolphina/(Hugo Dickinson) has fired at Red Axolotl/(Breaks-The-Bad) with [laser] from Aft Primary Hallway (NEWHP: 36)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:37.488] ATTACK: pandolphina/(Hugo Dickinson) has fired at Red Axolotl/(Breaks-The-Bad) with [laser] from Aft Primary Hallway (NEWHP: 36)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:37.945] ATTACK: pandolphina/(Hugo Dickinson) has fired at Red Axolotl/(Breaks-The-Bad) with [laser] from Aft Primary Hallway (NEWHP: 36)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:38.914] ATTACK: pandolphina/(Hugo Dickinson) has fired at Red Axolotl/(Breaks-The-Bad) with [laser] from Aft Primary Hallway (NEWHP: 36)  (Aft Primary Hallway (113, 96, 2))
[2018-08-20 15:41:53.753] ATTACK: pandolphina/(Hugo Dickinson) has handcuffed Red Axolotl/(Breaks-The-Bad) (NEWHP: 36)  (Aft Primary Hallway (113, 98, 2))
[2018-08-20 15:41:54.443] ATTACK: pandolphina/(Hugo Dickinson) has grabbed (Krav Maga) Red Axolotl/(Breaks-The-Bad) (NEWHP: 36)  (Aft Primary Hallway (113, 98, 2))
[2018-08-20 15:41:54.444] ATTACK: pandolphina/(Hugo Dickinson) has grabbed Red Axolotl/(Breaks-The-Bad) passive grab (NEWHP: 36)  (Aft Primary Hallway (113, 98, 2))
[2018-08-20 15:41:55.441] ATTACK: pandolphina/(Hugo Dickinson) has grabbed (Krav Maga) Red Axolotl/(Breaks-The-Bad) (NEWHP: 36)  (Aft Primary Hallway (113, 98, 2))
[2018-08-20 15:41:55.442] ATTACK: pandolphina/(Hugo Dickinson) has grabbed Red Axolotl/(Breaks-The-Bad) aggressive grab (NEWHP: 36)  (Aft Primary Hallway (113, 98, 2))
[2018-08-20 15:42:00.220] ATTACK: pandolphina/(Hugo Dickinson) has grabbed (Krav Maga) Red Axolotl/(Breaks-The-Bad) (NEWHP: 36)  (Aft Primary Hallway (113, 106, 2))
[2018-08-20 15:42:00.221] ATTACK: pandolphina/(Hugo Dickinson) has grabbed Red Axolotl/(Breaks-The-Bad) passive grab (NEWHP: 36)  (Aft Primary Hallway (113, 106, 2))
[2018-08-20 15:42:02.538] ATTACK: Bilary/(Lara Black) has attacked *no key*/(mouse) with wrench[DC] (INTENT: DISARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Port Quarter Maintenance (110, 83, 2))
[2018-08-20 15:42:12.994] ATTACK: Bilary/(Lara Black) has attacked *no key*/(mouse) with plasteel[DC] (INTENT: DISARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Port Quarter Maintenance (97, 78, 2))
[2018-08-20 15:42:15.894] ATTACK: Bilary/(Lara Black) has thrown the plasteel (Engineering (98, 72, 2))
[2018-08-20 15:42:18.694] ATTACK: pandolphina/(Hugo Dickinson) has attacked Red Axolotl/(Breaks-The-Bad) with straight jacket[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: 36)  (Brig (105, 173, 2))
[2018-08-20 15:42:20.923] ATTACK: pandolphina/(Hugo Dickinson) has attacked Red Axolotl/(Breaks-The-Bad) with straight jacket[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 36)  (Brig (105, 173, 2))
[2018-08-20 15:42:33.598] ATTACK: pandolphina/(Hugo Dickinson) has stripped the duffel bag off Red Axolotl/(Breaks-The-Bad) (NEWHP: 36)  (Brig (106, 173, 2))
[2018-08-20 15:42:34.295] ATTACK: Enkidienne/(Nerissa Ratcliff) has thrown the metal (Research and Development (184, 124, 2))
[2018-08-20 15:42:34.948] ATTACK: pandolphina/(Hugo Dickinson) has stripped PDA-Breaks-The-Bad (Research Director) off Red Axolotl/(Breaks-The-Bad) (NEWHP: 36)  (Brig (106, 173, 2))
[2018-08-20 15:43:44.667] ATTACK: Bilary/(Lara Black) has thrown the empty sandbag (Engineering (122, 62, 2))
[2018-08-20 15:43:46.676] ATTACK: Bilary/(Lara Black) has thrown the empty sandbag (Engineering (122, 62, 2))
[2018-08-20 15:43:47.743] ATTACK: pandolphina/(Hugo Dickinson) has stripped the welding goggles off Red Axolotl/(Breaks-The-Bad) (NEWHP: 36)  (Brig (106, 173, 2))
[2018-08-20 15:43:50.294] ATTACK: Bilary/(Lara Black) has thrown the empty sandbag (Engineering (122, 62, 2))
[2018-08-20 15:43:50.296] ATTACK: pandolphina/(Hugo Dickinson) has stripped �the research director's headset off Red Axolotl/(Breaks-The-Bad) (NEWHP: 36)  (Brig (106, 173, 2))
[2018-08-20 15:43:50.944] ATTACK: pandolphina/(Hugo Dickinson) has stripped the labcoat off Red Axolotl/(Breaks-The-Bad) (NEWHP: 36)  (Brig (106, 173, 2))
[2018-08-20 15:43:51.309] ATTACK: Bilary/(Lara Black) has thrown the empty sandbag (Engineering (122, 62, 2))
[2018-08-20 15:43:51.594] ATTACK: pandolphina/(Hugo Dickinson) has stripped the brown shoes off Red Axolotl/(Breaks-The-Bad) (NEWHP: 36)  (Brig (106, 173, 2))
[2018-08-20 15:43:52.794] ATTACK: pandolphina/(Hugo Dickinson) has stripped the research director's vest suit off Red Axolotl/(Breaks-The-Bad) (NEWHP: 36)  (Brig (106, 173, 2))
[2018-08-20 15:43:55.289] ATTACK: Bilary/(Lara Black) has thrown the empty sandbag (Engineering (122, 62, 2))
[2018-08-20 15:43:56.151] ATTACK: Bilary/(Lara Black) has thrown the empty sandbag (Engineering (122, 62, 2))
[2018-08-20 15:43:57.283] ATTACK: Bilary/(Lara Black) has thrown the empty sandbag (Engineering (122, 62, 2))
[2018-08-20 15:43:57.840] ATTACK: Bilary/(Lara Black) has thrown the advanced magboots (Engineering (122, 62, 2))
[2018-08-20 15:44:14.686] ATTACK: pandolphina/(Hugo Dickinson) has grabbed (Krav Maga) Red Axolotl/(Breaks-The-Bad) (NEWHP: 36)  (Brig (106, 173, 2))
[2018-08-20 15:44:14.688] ATTACK: pandolphina/(Hugo Dickinson) has grabbed Red Axolotl/(Breaks-The-Bad) passive grab (NEWHP: 36)  (Brig (106, 173, 2))
[2018-08-20 15:44:24.040] ATTACK: Smarrazzo/(Simon Fenix) has thrown the white shoes (Delivery Office (90, 123, 2))
