[2018-09-04 21:47:16.162] Starting up round ID 2177.
[2018-09-04 21:47:16.162] -------------------------
[2018-09-04 21:57:28.492] ATTACK: Bluezinho/(Bluezinho Robert) has punched ChippedIce/(Hana Robusto) (NEWHP: 72)  (Locker Room (73, 137, 2))
[2018-09-04 21:57:29.844] ATTACK: Bilary/(Lara Black) has attacked [stool] with [fire extinguisher] (Locker Room (72, 137, 2))
[2018-09-04 21:57:32.548] ATTACK: Bilary/(Lara Black) has shaked ChippedIce/(Hana Robusto) (NEWHP: 72)  (Locker Room (71, 137, 2))
[2018-09-04 21:57:42.193] ATTACK: Bluezinho/(Bluezinho Robert) has attacked ChippedIce/(Hana Robusto) with mechanical toolbox[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 60)  (Primary Tool Storage (75, 146, 2))
[2018-09-04 21:57:43.722] ATTACK: Mr.Cheese1/(Benny Tequila) has attempted to inject Mr.Cheese1/(Benny Tequila) with [�DNA injector] (NEWHP: 100)  (Genetics Lab (158, 117, 2))
[2018-09-04 21:57:43.723] ATTACK: Mr.Cheese1/(Benny Tequila) has injected Mr.Cheese1/(Benny Tequila) with [�DNA injector] (NEWHP: 100)  (Genetics Lab (158, 117, 2))
[2018-09-04 21:57:43.724] ATTACK: Mr.Cheese1/(Benny Tequila) injected Mr.Cheese1/(Benny Tequila) with the �DNA injector (Genetics Lab (158, 117, 2))
[2018-09-04 21:57:44.184] ATTACK: Bluezinho/(Bluezinho Robert) has thrown the mechanical toolbox (Locker Room (71, 138, 2))
[2018-09-04 21:57:44.239] ATTACK: Bluezinho/(Bluezinho Robert) has threw and hit Bilary/(Lara Black) with [mechanical toolbox] (NEWHP: 91)  (Locker Room (71, 137, 2))
[2018-09-04 21:57:51.239] ATTACK: ChippedIce/(Hana Robusto) has slipped on the [floor] (Locker Room (72, 138, 2))
[2018-09-04 21:58:08.797] ATTACK: ChippedIce/(Hana Robusto) has stunned Bluezinho/(Bluezinho Robert) (NEWHP: 71.5)  (Locker Room (74, 136, 2))
[2018-09-04 21:58:10.849] ATTACK: ChippedIce/(Hana Robusto) has grabbed Bluezinho/(Bluezinho Robert) passive grab (NEWHP: 71.5)  (Locker Room (74, 136, 2))
[2018-09-04 21:58:11.228] ATTACK: Bilary/(Lara Black) has slipped on the [floor] (Locker Room (72, 138, 2))
[2018-09-04 21:58:13.610] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [kinetic force] (NEWHP: 35)  (Lavaland Wastes (56, 96, 5))
[2018-09-04 21:58:13.708] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (56, 96, 5))
[2018-09-04 21:58:14.470] ATTACK: ChippedIce/(Hana Robusto) has stunned Bluezinho/(Bluezinho Robert) (NEWHP: 71.5)  (Locker Room (72, 137, 2))
[2018-09-04 21:58:14.586] ATTACK: *no key*/(legion) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 73.7)  (Lavaland Wastes (55, 97, 5))
[2018-09-04 21:58:14.608] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (56, 96, 5))
[2018-09-04 21:58:14.680] ATTACK: ChippedIce/(Hana Robusto) has slipped on the [floor] (Locker Room (72, 138, 2))
[2018-09-04 21:58:15.831] ATTACK: Bluezinho/(Bluezinho Robert) has slipped on the [floor] (Locker Room (72, 138, 2))
[2018-09-04 21:58:19.809] ATTACK: ChippedIce/(Hana Robusto) has stunned Bluezinho/(Bluezinho Robert) (NEWHP: 71.5)  (Port Primary Hallway (68, 142, 2))
[2018-09-04 21:58:24.293] ATTACK: ChippedIce/(Hana Robusto) has stunned Bluezinho/(Bluezinho Robert) (NEWHP: 71.5)  (Primary Tool Storage (68, 146, 2))
[2018-09-04 21:58:27.744] ATTACK: ChippedIce/(Hana Robusto) has thrown the cable coil (Primary Tool Storage (68, 146, 2))
[2018-09-04 21:58:30.005] ATTACK: ChippedIce/(Hana Robusto) has stunned Bluezinho/(Bluezinho Robert) (NEWHP: 71.5)  (Primary Tool Storage (68, 146, 2))
[2018-09-04 21:58:34.905] ATTACK: ChippedIce/(Hana Robusto) has handcuffed Bluezinho/(Bluezinho Robert) (NEWHP: 71.5)  (Primary Tool Storage (68, 146, 2))
[2018-09-04 21:59:00.792] ATTACK: Bluezinho/(Bluezinho Robert) has pulled from ChippedIce/(Hana Robusto) with Bilary/(Lara Black) (NEWHP: 60)  (Central Primary Hallway (121, 142, 2))
[2018-09-04 21:59:00.793] ATTACK: Bilary/(Lara Black) has grabbed Bluezinho/(Bluezinho Robert) passive grab (NEWHP: 71.5)  (Central Primary Hallway (121, 141, 2))
[2018-09-04 21:59:04.347] ATTACK: Mr.Cheese1/(Benny Tequila) has attempted to inject Mr.Cheese1/(Benny Tequila) with [�DNA injector] (NEWHP: 100)  (Genetics Lab (158, 117, 2))
[2018-09-04 21:59:04.347] ATTACK: Mr.Cheese1/(Benny Tequila) has injected Mr.Cheese1/(Benny Tequila) with [�DNA injector] (NEWHP: 100)  (Genetics Lab (158, 117, 2))
[2018-09-04 21:59:04.348] ATTACK: Mr.Cheese1/(Benny Tequila) injected Mr.Cheese1/(Benny Tequila) with the �DNA injector (Genetics Lab (158, 117, 2))
[2018-09-04 21:59:26.773] ATTACK: Catmanpop/(Sona Haku) has slipped on the [floor] (Locker Room (72, 138, 2))
[2018-09-04 21:59:29.077] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 260)  (Lavaland Wastes (92, 78, 5))
[2018-09-04 21:59:29.176] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 220)  (Lavaland Wastes (92, 78, 5))
[2018-09-04 21:59:31.097] ATTACK: ChippedIce/(Hana Robusto) has stunned Bluezinho/(Bluezinho Robert) with [telescopic baton] (NEWHP: 71.5)  (Recreational Holodeck (144, 154, 2))
[2018-09-04 21:59:32.476] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 180)  (Lavaland Wastes (92, 77, 5))
[2018-09-04 21:59:32.578] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 140)  (Lavaland Wastes (92, 77, 5))
[2018-09-04 21:59:36.176] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 100)  (Lavaland Wastes (92, 76, 5))
[2018-09-04 21:59:36.279] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 60)  (Lavaland Wastes (92, 76, 5))
[2018-09-04 21:59:39.379] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 20)  (Lavaland Wastes (92, 75, 5))
[2018-09-04 21:59:39.480] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (92, 75, 5))
[2018-09-04 21:59:54.471] ATTACK: Mr.Cheese1/(Benny Tequila) has attempted to inject Mr.Cheese1/(Benny Tequila) with [�DNA injector] (NEWHP: 100)  (Genetics Lab (158, 117, 2))
[2018-09-04 21:59:54.471] ATTACK: Mr.Cheese1/(Benny Tequila) has injected Mr.Cheese1/(Benny Tequila) with [�DNA injector] (NEWHP: 100)  (Genetics Lab (158, 117, 2))
[2018-09-04 21:59:54.472] ATTACK: Mr.Cheese1/(Benny Tequila) injected Mr.Cheese1/(Benny Tequila) with the �DNA injector (Genetics Lab (158, 117, 2))
[2018-09-04 22:00:05.795] ATTACK: SuperbDingaling/(Mateo Keppel) has slipped on the [floor] (Locker Room (72, 138, 2))
[2018-09-04 22:00:11.508] ATTACK: Catmanpop/(Sona Haku) has climbed onto [reinforced table] (Kitchen (151, 132, 2))
[2018-09-04 22:00:31.277] ATTACK: ChippedIce/(Hana Robusto) has stunned Bluezinho/(Bluezinho Robert) with [telescopic baton] (NEWHP: 71.5)  (Recreational Holodeck (144, 154, 2))
[2018-09-04 22:00:34.738] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [kinetic force] (NEWHP: 35)  (Lavaland Wastes (88, 109, 5))
[2018-09-04 22:00:34.853] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (88, 109, 5))
[2018-09-04 22:00:45.688] ATTACK: Catmanpop/(Sona Haku) has climbed onto [reinforced table] (Kitchen (150, 132, 2))
[2018-09-04 22:00:48.168] ATTACK: ChippedIce/(Hana Robusto) has stunned Bluezinho/(Bluezinho Robert) with [telescopic baton] (NEWHP: 71.5)  (Recreational Holodeck (142, 154, 2))
[2018-09-04 22:00:50.498] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 260)  (Lavaland Wastes (83, 120, 5))
[2018-09-04 22:00:50.597] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 220)  (Lavaland Wastes (83, 120, 5))
[2018-09-04 22:00:55.047] ATTACK: *no key*/(goliath) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 100)  (Lavaland Wastes (84, 119, 5))
[2018-09-04 22:00:57.247] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 180)  (Lavaland Wastes (87, 119, 5))
[2018-09-04 22:00:57.347] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 140)  (Lavaland Wastes (87, 119, 5))
[2018-09-04 22:00:59.306] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (126, 131, 2))
[2018-09-04 22:01:00.370] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (126, 131, 2))
[2018-09-04 22:01:01.169] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (126, 131, 2))
[2018-09-04 22:01:01.995] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (126, 131, 2))
[2018-09-04 22:01:02.914] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (126, 131, 2))
[2018-09-04 22:01:03.858] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (126, 131, 2))
[2018-09-04 22:01:04.835] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (126, 131, 2))
[2018-09-04 22:01:04.850] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 100)  (Lavaland Wastes (87, 119, 5))
[2018-09-04 22:01:04.949] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 60)  (Lavaland Wastes (87, 119, 5))
[2018-09-04 22:01:05.661] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (126, 131, 2))
