[2018-08-22 17:51:41.595] Starting up round ID 2043.
[2018-08-22 17:51:41.595] -------------------------
[2018-08-22 18:08:43.275] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:43.614] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:43.722] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:44.164] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:44.276] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:44.704] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:44.824] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:45.239] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:45.375] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:45.764] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (92, 116, 2))
