[2018-09-05 16:09:40.526] Starting up round ID 2184.
[2018-09-05 16:09:40.527] -------------------------
[2018-09-05 16:39:49.864] ATTACK: Zeop/(Gordon Jenkins) has attacked [emergency closet] with [baseball bat] (Starboard Primary Hallway (158, 128, 2))
[2018-09-05 16:39:54.281] ATTACK: Bluezinho/(Popcorn) has attacked [camera assembly] with [screwdriver] (Auxillary Base (43, 157, 2))
[2018-09-05 16:39:56.946] ATTACK: Bluezinho/(Popcorn) has attacked [camera assembly] with [wirecutters] (Auxillary Base (43, 157, 2))
[2018-09-05 16:40:08.176] ATTACK: [power cable] has electrocuted Bluezinho/(Popcorn) (NEWHP: 100)  (Auxillary Base (43, 158, 2))
[2018-09-05 16:40:10.979] ATTACK: Bluezinho/(Popcorn) has thrown the cable coil (Auxillary Base (41, 159, 2))
[2018-09-05 16:40:14.583] ATTACK: Zeop/(Gordon Jenkins) has climbed onto [reinforced table] (Medbay Central (141, 122, 2))
[2018-09-05 16:40:53.007] ATTACK: Bilary/(Lara Black) has thrown the fingerless gloves (Engineering (101, 73, 2))
[2018-09-05 16:41:23.232] ATTACK: Zeop/(Gordon Jenkins) has grabbed *no key*/(�Medibot) passive grab (NEWHP: 20)  (Starboard Primary Hallway (157, 129, 2))
[2018-09-05 16:41:28.514] ATTACK: Zeop/(Gordon Jenkins) has grabbed *no key*/(�Medibot) passive grab (NEWHP: 20)  (Starboard Primary Hallway (168, 130, 2))
[2018-09-05 16:41:30.783] ATTACK: Zeop/(Gordon Jenkins) has grabbed *no key*/(�Medibot) passive grab (NEWHP: 20)  (Starboard Primary Hallway (172, 130, 2))
[2018-09-05 16:41:41.814] ATTACK: Zeop/(Gordon Jenkins) has grabbed *no key*/(Officer Beepsky) passive grab (NEWHP: 25)  (Starboard Primary Hallway (185, 130, 2))
[2018-09-05 16:41:46.972] ATTACK: Zeop/(Gordon Jenkins) has grabbed *no key*/(Officer Beepsky) passive grab (NEWHP: 25)  (Starboard Primary Hallway (178, 130, 2))
[2018-09-05 16:42:01.116] ATTACK: Zeop/(Gordon Jenkins) has grabbed *no key*/(Officer Beepsky) passive grab (NEWHP: 25)  (Starboard Primary Hallway (152, 129, 2))
[2018-09-05 16:42:03.612] ATTACK: Zeop/(Gordon Jenkins) has grabbed *no key*/(�Medibot) passive grab (NEWHP: 20)  (Starboard Primary Hallway (146, 129, 2))
[2018-09-05 16:42:14.183] ATTACK: Zeop/(Gordon Jenkins) has grabbed *no key*/(�Medibot) passive grab (NEWHP: 20)  (Central Primary Hallway (129, 130, 2))
[2018-09-05 16:42:17.934] ATTACK: Zeop/(Gordon Jenkins) has grabbed *no key*/(�Medibot) passive grab (NEWHP: 20)  (Central Primary Hallway (128, 131, 2))
[2018-09-05 16:42:24.462] ATTACK: Zeop/(Gordon Jenkins) has attacked *no key*/(Officer Beepsky) with baseball bat[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 20)  (Central Primary Hallway (128, 139, 2))
[2018-09-05 16:42:28.285] ATTACK: Bluezinho/(Popcorn) has thrown Thirteen Loko (Auxiliary Base Construction (47, 160, 2))
[2018-09-05 16:42:35.345] ATTACK: *no key*/(Officer Beepsky) has stunned Zeop/(Gordon Jenkins) (NEWHP: 100)  (Central Primary Hallway (128, 115, 2))
