[2018-08-26 05:56:41.911] Starting up round ID 2084.
[2018-08-26 05:56:41.911] -------------------------
[2018-08-26 06:10:26.623] ATTACK: BRhunter45/(Adolph Mills) has attacked [�chief engineer's locker] with [fire axe (Wielded)] (Chief Engineer's Office (119, 82, 2))
[2018-08-26 06:10:27.412] ATTACK: BRhunter45/(Adolph Mills) has attacked [�chief engineer's locker] with [fire axe (Wielded)] (Chief Engineer's Office (119, 82, 2))
[2018-08-26 06:10:57.310] ATTACK: BRhunter45/(Adolph Mills) has attacked *no key*/(Poly) with fire axe (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 56)  (Chief Engineer's Office (119, 83, 2))
[2018-08-26 06:10:57.621] ATTACK: *no key*/(Poly) has attacked BRhunter45/(Adolph Mills) (NEWHP: 100)  (Chief Engineer's Office (118, 83, 2))
[2018-08-26 06:10:58.238] ATTACK: BRhunter45/(Adolph Mills) has attacked *no key*/(Poly) with fire axe (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 32)  (Chief Engineer's Office (119, 83, 2))
[2018-08-26 06:10:59.157] ATTACK: BRhunter45/(Adolph Mills) has attacked *no key*/(Poly) with fire axe (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 8)  (Chief Engineer's Office (119, 83, 2))
[2018-08-26 06:10:59.620] ATTACK: *no key*/(Poly) has attacked BRhunter45/(Adolph Mills) (NEWHP: 95.5)  (Chief Engineer's Office (118, 83, 2))
[2018-08-26 06:10:59.927] ATTACK: BRhunter45/(Adolph Mills) has attacked *no key*/(Poly) with fire axe (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Chief Engineer's Office (119, 83, 2))
[2018-08-26 06:11:08.720] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Chief Engineer's Office (119, 79, 2))
[2018-08-26 06:11:09.601] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Chief Engineer's Office (119, 79, 2))
[2018-08-26 06:11:10.590] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Chief Engineer's Office (119, 79, 2))
[2018-08-26 06:11:11.373] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Chief Engineer's Office (119, 79, 2))
[2018-08-26 06:11:12.237] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Chief Engineer's Office (119, 79, 2))
[2018-08-26 06:11:13.087] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Chief Engineer's Office (119, 79, 2))
[2018-08-26 06:11:13.890] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Chief Engineer's Office (119, 79, 2))
[2018-08-26 06:11:14.801] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Chief Engineer's Office (119, 79, 2))
[2018-08-26 06:11:15.572] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Chief Engineer's Office (119, 79, 2))
[2018-08-26 06:11:16.595] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Chief Engineer's Office (119, 79, 2))
[2018-08-26 06:11:17.939] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced window] with [fire axe (Wielded)] (Chief Engineer's Office (118, 79, 2))
[2018-08-26 06:11:18.854] ATTACK: BRhunter45/(Adolph Mills) has attacked [grille] with [fire axe (Wielded)] (Chief Engineer's Office (118, 79, 2))
[2018-08-26 06:11:35.892] ATTACK: BRhunter45/(Adolph Mills) has attacked [window] with [fire axe (Wielded)] (Medbay Central (142, 126, 2))
[2018-08-26 06:11:36.853] ATTACK: BRhunter45/(Adolph Mills) has attacked [grille] with [fire axe (Wielded)] (Medbay Central (142, 126, 2))
[2018-08-26 06:11:39.431] ATTACK: BRhunter45/(Adolph Mills) has attacked [Chemistry Desk] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
[2018-08-26 06:11:40.285] ATTACK: BRhunter45/(Adolph Mills) has attacked [Chemistry Desk] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
[2018-08-26 06:11:41.202] ATTACK: BRhunter45/(Adolph Mills) has attacked [Chemistry Desk] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
[2018-08-26 06:11:42.289] ATTACK: BRhunter45/(Adolph Mills) has attacked [Chemistry Desk] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
[2018-08-26 06:11:43.186] ATTACK: BRhunter45/(Adolph Mills) has attacked [Chemistry Desk] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
[2018-08-26 06:11:44.305] ATTACK: BRhunter45/(Adolph Mills) has attacked [Chemistry Desk] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
