[2018-08-21 01:10:44.849] Starting up round ID 2025.
[2018-08-21 01:10:44.849] -------------------------
[2018-08-21 01:35:20.526] ATTACK: *no key*/(space carp) has attacked *no key*/(mouse) (NEWHP: 5)  (Space (72, 161, 2))
[2018-08-21 01:35:31.010] ATTACK: Mr.Cheese1/(Benny Tequila) has cremated CthulhuOnIce/(Declan Judge) (NEWHP: -100.583)  (Chapel Office (175, 144, 2))
[2018-08-21 01:35:34.221] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [upgraded industrial welding tool] (Starboard Primary Hallway (175, 127, 2))
[2018-08-21 01:35:35.261] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [upgraded industrial welding tool] (Starboard Primary Hallway (175, 127, 2))
[2018-08-21 01:35:36.206] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [upgraded industrial welding tool] (Starboard Primary Hallway (175, 127, 2))
[2018-08-21 01:35:37.429] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [upgraded industrial welding tool] (Starboard Primary Hallway (175, 127, 2))
[2018-08-21 01:35:39.437] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [upgraded industrial welding tool] (Starboard Primary Hallway (175, 127, 2))
[2018-08-21 01:35:40.358] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [upgraded industrial welding tool] (Starboard Primary Hallway (175, 127, 2))
[2018-08-21 01:35:41.583] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [upgraded industrial welding tool] (Starboard Primary Hallway (175, 127, 2))
[2018-08-21 01:35:42.379] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [upgraded industrial welding tool] (Starboard Primary Hallway (175, 127, 2))
[2018-08-21 01:37:15.015] ATTACK: BuckyBoy/(Beau Richards) has shone in the eyes Mr.Cheese1/(Benny Tequila) with [laser pointer] (NEWHP: 100)  (Starboard Primary Hallway (152, 128, 2))
[2018-08-21 01:37:16.291] ATTACK: BuckyBoy/(Beau Richards) has shone in the eyes Mr.Cheese1/(Benny Tequila) with [laser pointer] (NEWHP: 100)  (Starboard Primary Hallway (152, 128, 2))
