[2018-09-10 04:43:04.954] Starting up round ID 2236.
[2018-09-10 04:43:04.954] -------------------------
[2018-09-10 10:40:43.566] ATTACK: *no key*/(colossus) has shot SunoPerson/(Suno Fang) with [death bolt] (NEWHP: -87.5)  (CentCom Recovery Ship (106, 22, 1))
[2018-09-10 10:40:43.579] ATTACK: *no key*/(colossus) has attacked SunoPerson/(Suno Fang) (NEWHP: -87.5)  (CentCom Recovery Ship (107, 21, 1))
[2018-09-10 10:40:43.587] ATTACK: *no key*/(colossus) has shot *no key*/(colossus) with [death bolt] (NEWHP: 2475)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:43.592] ATTACK: *no key*/(colossus) has attacked SunoPerson/(Suno Fang) (NEWHP: -117.5)  (CentCom Recovery Ship (105, 23, 1))
[2018-09-10 10:40:43.600] ATTACK: *no key*/(colossus) has attacked SunoPerson/(Suno Fang) (NEWHP: -147.5)  (CentCom Recovery Ship (106, 23, 1))
[2018-09-10 10:40:43.608] ATTACK: *no key*/(colossus) has attacked SunoPerson/(Suno Fang) (NEWHP: -187.5)  (CentCom Recovery Ship (106, 22, 1))
[2018-09-10 10:40:43.632] ATTACK: *no key*/(colossus) has attacked SunoPerson/(Suno Fang) (NEWHP: -213.7)  (CentCom Recovery Ship (105, 22, 1))
[2018-09-10 10:40:43.639] ATTACK: *no key*/(colossus) has attacked SunoPerson/(Suno Fang) (NEWHP: -213.7)  (CentCom Recovery Ship (106, 22, 1))
[2018-09-10 10:40:43.648] ATTACK: *no key*/(colossus) has attacked SunoPerson/(Suno Fang) (NEWHP: -240)  (CentCom Recovery Ship (106, 22, 1))
[2018-09-10 10:40:43.657] ATTACK: *no key*/(colossus) has attacked SunoPerson/(Suno Fang) (NEWHP: -270)  (CentCom Recovery Ship (106, 22, 1))
[2018-09-10 10:40:44.521] ATTACK: *no key*/(colossus) has fired at *no key*/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: -270)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:44.522] ATTACK: *no key*/(colossus) has fired at *no key*/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: -270)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:44.524] ATTACK: *no key*/(colossus) has shot *no key*/(colossus) with [death bolt] (NEWHP: 2475)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:44.533] ATTACK: *no key*/(colossus) has shot *no key*/(Suno Fang) with [death bolt] (NEWHP: -270)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:44.534] ATTACK: *no key*/(colossus) has fired at *no key*/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: -270)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:44.536] ATTACK: *no key*/(colossus) has fired at *no key*/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: -270)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:44.682] ATTACK: *no key*/(colossus) has shot *no key*/(Suno Fang) with [death bolt] (NEWHP: -270)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:44.776] ATTACK: *no key*/(colossus) has shot *no key*/(colossus) with [death bolt] (NEWHP: 2475)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:44.782] ATTACK: *no key*/(colossus) has shot *no key*/(Suno Fang) with [death bolt] (NEWHP: -270)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:45.028] ATTACK: *no key*/(colossus) has shot *no key*/(Suno Fang) with [death bolt] (NEWHP: -270)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:45.520] ATTACK: *no key*/(colossus) has fired at *no key*/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: -270)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:45.522] ATTACK: *no key*/(colossus) has fired at *no key*/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: -270)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:45.530] ATTACK: *no key*/(colossus) has shot *no key*/(Suno Fang) with [death bolt] (NEWHP: -270)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:45.531] ATTACK: *no key*/(colossus) has fired at *no key*/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: -270)  (CentCom Recovery Ship (106, 24, 1))
