[2018-09-09 21:37:28.943] Starting up round ID 2232.
[2018-09-09 21:37:28.943] -------------------------
[2018-09-09 22:00:45.621] ATTACK: GreenTea98/(Helps-The-Station) has fired at [conveyor belt] with [laser] from Cargo Bay (Cargo Bay (76, 115, 2))
[2018-09-09 22:00:45.886] ATTACK: AzlanonPc/(Jetra Norlan) has fired at [�space] with [weakened plasma blast] from Cargo Bay (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:45.978] ATTACK: AzlanonPc/(Jetra Norlan) has fired at [�space] with [weakened plasma blast] from Cargo Bay (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:47.358] ATTACK: AzlanonPc/(Jetra Norlan) has fired at [shuttle floor] with [weakened plasma blast] from Cargo Bay (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:47.400] ATTACK: *no key*/(Syndicate Operative) has fired at GreenTea98/(Helps-The-Station) with [10mm bullet] from Supply Shuttle (NEWHP: 47.7)  (Supply Shuttle (67, 115, 2))
[2018-09-09 22:00:47.409] ATTACK: *no key*/(Syndicate Operative) has fired at Juicy_Chicken/(Mr Fluffles) with [10mm bullet] from Supply Shuttle (NEWHP: 100)  (Supply Shuttle (66, 120, 2))
[2018-09-09 22:00:47.414] ATTACK: *no key*/(Syndicate Operative) has fired at Juicy_Chicken/(Mr Fluffles) with [10mm bullet] from Supply Shuttle (NEWHP: 100)  (Supply Shuttle (66, 113, 2))
[2018-09-09 22:00:47.428] ATTACK: AzlanonPc/(Jetra Norlan) has fired at [shuttle floor] with [weakened plasma blast] from Cargo Bay (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:47.784] ATTACK: *no key*/(Syndicate Operative) has shot GreenTea98/(Helps-The-Station) with [10mm bullet] (NEWHP: 27.5)  (Supply Shuttle (68, 115, 2))
[2018-09-09 22:00:47.846] ATTACK: *no key*/(monkey (607)) has attacked Bobcat49/(Rose White) (NEWHP: 98.5)  (Genetics Lab (160, 117, 2))
[2018-09-09 22:00:47.852] ATTACK: *no key*/(monkey (820)) has attacked Bobcat49/(Rose White) (NEWHP: 97)  (Genetics Lab (161, 119, 2))
[2018-09-09 22:00:48.660] ATTACK: GreenTea98/(Helps-The-Station) has fired at [supply dock loading door] with [laser] from Cargo Bay (Cargo Bay (75, 115, 2))
[2018-09-09 22:00:48.930] ATTACK: GreenTea98/(Helps-The-Station) has shot *no key*/(Syndicate Operative) with [laser] (NEWHP: 80)  (Cargo Bay (75, 115, 2))
[2018-09-09 22:00:49.174] ATTACK: GreenTea98/(Helps-The-Station) has fired at [supply dock loading door] with [laser] from Cargo Bay (Cargo Bay (75, 115, 2))
[2018-09-09 22:00:49.432] ATTACK: GreenTea98/(Helps-The-Station) has shot *no key*/(Syndicate Operative) with [laser] (NEWHP: 60)  (Cargo Bay (75, 115, 2))
[2018-09-09 22:00:49.660] ATTACK: GreenTea98/(Helps-The-Station) has fired at [supply dock loading door] with [laser] from Cargo Bay (Cargo Bay (75, 115, 2))
[2018-09-09 22:00:49.700] ATTACK: *no key*/(Syndicate Operative) has fired at AzlanonPc/(Jetra Norlan) with [10mm bullet] from Supply Shuttle (NEWHP: 69.2)  (Supply Shuttle (65, 119, 2))
[2018-09-09 22:00:49.825] ATTACK: AzlanonPc/(Jetra Norlan) has fired at [�space] with [weakened plasma blast] from Cargo Bay (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:49.827] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(Syndicate Operative) with [weakened plasma blast] (NEWHP: 93)  (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:49.880] ATTACK: AzlanonPc/(Jetra Norlan) has fired at [�space] with [weakened plasma blast] from Cargo Bay (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:50.166] ATTACK: GreenTea98/(Helps-The-Station) has fired at [conveyor belt] with [laser] from Cargo Bay (Cargo Bay (74, 115, 2))
