[2018-08-20 18:11:58.911] Starting up round ID 2020.
[2018-08-20 18:11:58.911] -------------------------
[2018-08-20 18:25:29.633] ATTACK: Red Axolotl/(Breaks-The-Bad) has fired at [floor] with [tentacle] from Starboard Primary Hallway (Starboard Primary Hallway (160, 130, 2))
[2018-08-20 18:25:30.547] ATTACK: David Blanc/(Osborn Hice) has thrown the pocket crowbar (Medbay Central (133, 118, 2))
[2018-08-20 18:25:58.522] ATTACK: Davidththird/(Tyron Jamal) has attacked Red Axolotl/(Breaks-The-Bad) with stool[DC] (INTENT: DISARM) (DAMTYPE: BRUTE) (NEWHP: 76)  (Starboard Primary Hallway (162, 130, 2))
[2018-08-20 18:26:12.986] ATTACK: Red Axolotl/(Breaks-The-Bad) has pushed over Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (175, 128, 2))
[2018-08-20 18:26:13.941] ATTACK: Red Axolotl/(Breaks-The-Bad) has pushed over Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (175, 128, 2))
[2018-08-20 18:26:14.874] ATTACK: Red Axolotl/(Breaks-The-Bad) has pushed over Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (175, 128, 2))
[2018-08-20 18:26:15.574] ATTACK: Red Axolotl/(Breaks-The-Bad) has disarmed Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (174, 128, 2))
[2018-08-20 18:26:16.710] ATTACK: Red Axolotl/(Breaks-The-Bad) has pushed over Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (173, 129, 2))
[2018-08-20 18:26:17.455] ATTACK: Red Axolotl/(Breaks-The-Bad) has disarmed Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (173, 129, 2))
[2018-08-20 18:26:17.990] ATTACK: CoolCatIsFeelingGroovy/(Moff) has grabbed Davidththird/(Tyron Jamal) passive grab (NEWHP: 100)  (Starboard Primary Hallway (175, 129, 2))
[2018-08-20 18:26:18.927] ATTACK: CoolCatIsFeelingGroovy/(Moff) has shaked Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (178, 129, 2))
[2018-08-20 18:26:28.746] ATTACK: Davidththird/(Tyron Jamal) has attacked Red Axolotl/(Breaks-The-Bad) with stool[DC] (INTENT: DISARM) (DAMTYPE: BRUTE) (NEWHP: 68)  (Starboard Primary Hallway (175, 128, 2))
[2018-08-20 18:26:31.289] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [mechanical toolbox] (Chemistry (134, 123, 2))
[2018-08-20 18:26:32.160] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [mechanical toolbox] (Chemistry (134, 123, 2))
[2018-08-20 18:26:33.248] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [mechanical toolbox] (Chemistry (134, 123, 2))
[2018-08-20 18:26:34.034] ATTACK: Red Axolotl/(Breaks-The-Bad) has pushed over Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (159, 128, 2))
[2018-08-20 18:26:34.153] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [mechanical toolbox] (Chemistry (134, 123, 2))
[2018-08-20 18:26:34.960] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [mechanical toolbox] (Chemistry (134, 123, 2))
[2018-08-20 18:26:35.965] ATTACK: BoxxyBooty/(Bumps) has thrown the rapid cable layer (Engineering (107, 79, 2))
[2018-08-20 18:26:37.312] ATTACK: Red Axolotl/(Breaks-The-Bad) has attempted to disarm Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (160, 129, 2))
[2018-08-20 18:26:37.462] ATTACK: BoxxyBooty/(Bumps) has thrown the rapid cable layer (Engineering (107, 79, 2))
[2018-08-20 18:26:42.865] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [mechanical toolbox] (Chemistry (134, 123, 2))
[2018-08-20 18:26:42.890] ATTACK: BoxxyBooty/(Bumps) has thrown the plasma tank (Engineering (107, 79, 2))
[2018-08-20 18:26:46.458] ATTACK: BoxxyBooty/(Bumps) has thrown the plasma tank (Engineering (107, 79, 2))
[2018-08-20 18:26:46.663] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [welding tool] (Chemistry (135, 123, 2))
[2018-08-20 18:26:47.502] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [welding tool] (Chemistry (135, 123, 2))
[2018-08-20 18:26:48.354] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [welding tool] (Chemistry (135, 123, 2))
[2018-08-20 18:26:48.913] ATTACK: Davidththird/(Tyron Jamal) has thrown the stool (Starboard Primary Hallway (169, 128, 2))
[2018-08-20 18:26:48.920] ATTACK: Davidththird/(Tyron Jamal) has threw and hit Red Axolotl/(Breaks-The-Bad) with [stool] (NEWHP: 58)  (Starboard Primary Hallway (169, 128, 2))
[2018-08-20 18:26:50.020] ATTACK: BoxxyBooty/(Bumps) has thrown the plasma tank (Engineering (107, 79, 2))
[2018-08-20 18:26:50.453] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [mechanical toolbox] (Chemistry (135, 123, 2))
[2018-08-20 18:26:51.282] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [mechanical toolbox] (Chemistry (135, 123, 2))
[2018-08-20 18:26:52.076] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [mechanical toolbox] (Chemistry (135, 123, 2))
