[2018-08-28 23:06:50.342] Starting up round ID 2110.
[2018-08-28 23:06:50.343] -------------------------
[2018-08-28 23:22:43.814] ATTACK: Shoeater/(Scotty Lord) has attempted to disarm gaminbrobasher/(Keaton Bloise) (NEWHP: 57.9)  (Bar (139, 141, 2))
[2018-08-28 23:22:45.726] ATTACK: Shoeater/(Scotty Lord) has pushed over gaminbrobasher/(Keaton Bloise) (NEWHP: 54.1)  (Bar (139, 141, 2))
[2018-08-28 23:22:46.412] ATTACK: Shoeater/(Scotty Lord) has wrist wrenched (Sleeping Carp) gaminbrobasher/(Keaton Bloise) (NEWHP: 54.1)  (Bar (139, 141, 2))
[2018-08-28 23:22:46.414] ATTACK: Shoeater/(Scotty Lord) has punched gaminbrobasher/(Keaton Bloise) (NEWHP: 53.1)  (Bar (139, 141, 2))
[2018-08-28 23:22:47.245] ATTACK: Shoeater/(Scotty Lord) has disarmed gaminbrobasher/(Keaton Bloise) (NEWHP: 53.1)  (Bar (139, 141, 2))
[2018-08-28 23:22:48.142] ATTACK: Shoeater/(Scotty Lord) has wrist wrenched (Sleeping Carp) gaminbrobasher/(Keaton Bloise) (NEWHP: 53.1)  (Bar (139, 141, 2))
[2018-08-28 23:22:48.144] ATTACK: Shoeater/(Scotty Lord) has punched gaminbrobasher/(Keaton Bloise) (NEWHP: 51.1)  (Bar (139, 141, 2))
[2018-08-28 23:22:52.246] ATTACK: Shoeater/(Scotty Lord) has attempted to disarm gaminbrobasher/(Keaton Bloise) (NEWHP: 51.1)  (Bar (139, 140, 2))
[2018-08-28 23:22:54.713] ATTACK: Shoeater/(Scotty Lord) has pushed over gaminbrobasher/(Keaton Bloise) (NEWHP: 47.4)  (Bar (139, 137, 2))
[2018-08-28 23:22:59.697] ATTACK: Shoeater/(Scotty Lord) has handcuffed gaminbrobasher/(Keaton Bloise) (NEWHP: 47.4)  (Bar (139, 136, 2))
[2018-08-28 23:23:01.422] ATTACK: Shoeater/(Scotty Lord) has grabbed gaminbrobasher/(Keaton Bloise) passive grab (NEWHP: 43.6)  (Bar (139, 136, 2))
[2018-08-28 23:23:01.423] ATTACK: Shoeater/(Scotty Lord) has grabbed gaminbrobasher/(Keaton Bloise) aggressively (NEWHP: 43.6)  (Bar (139, 136, 2))
[2018-08-28 23:23:03.142] ATTACK: Shoeater/(Scotty Lord) has attempted to neck grab gaminbrobasher/(Keaton Bloise) neck grab (NEWHP: 43.6)  (Bar (139, 136, 2))
[2018-08-28 23:24:47.864] ATTACK: Shoeater/(Scotty Lord) has broke grab gaminbrobasher/(Keaton Bloise) (NEWHP: 43.6)  (Central Primary Hallway (128, 129, 2))
[2018-08-28 23:24:57.778] ATTACK: GreenTea98/(Helps-The-Station) has grabbed *no key*/(Terk XVIII) passive grab (NEWHP: 100)  (Bar (143, 135, 2))
[2018-08-28 23:24:57.781] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: DISARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (142, 134, 2))
[2018-08-28 23:24:59.251] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (143, 135, 2))
[2018-08-28 23:25:01.230] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (143, 134, 2))
[2018-08-28 23:25:03.582] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (143, 134, 2))
[2018-08-28 23:25:04.242] ATTACK: GreenTea98/(Helps-The-Station) has grabbed *no key*/(Terk XVIII) passive grab (NEWHP: 100)  (Bar (143, 135, 2))
[2018-08-28 23:25:05.611] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (143, 135, 2))
[2018-08-28 23:25:07.579] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (143, 135, 2))
[2018-08-28 23:25:09.590] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (143, 134, 2))
[2018-08-28 23:25:11.607] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (143, 134, 2))
[2018-08-28 23:25:13.571] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (143, 134, 2))
[2018-08-28 23:25:15.587] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (143, 134, 2))
[2018-08-28 23:25:17.587] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (143, 134, 2))
[2018-08-28 23:25:19.556] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (143, 134, 2))
[2018-08-28 23:25:21.606] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (143, 134, 2))
[2018-08-28 23:25:22.369] ATTACK: gaminbrobasher/(Keaton Bloise) has attacked *no key*/(Terk XVIII) with [The Holy Book of August Whiteman] (NEWHP: 100)  (Bar (142, 133, 2))
[2018-08-28 23:25:23.617] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (143, 134, 2))
[2018-08-28 23:25:24.315] ATTACK: GreenTea98/(Helps-The-Station) has grabbed *no key*/(Terk XVIII) passive grab (NEWHP: 100)  (Bar (143, 135, 2))
[2018-08-28 23:25:26.688] ATTACK: AzlanonPc/(Jetra Norlan) has attacked AzlanonPc/(Jetra Norlan) with fulton extraction pack[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Lavaland Wastes (82, 156, 5))
[2018-08-28 23:25:27.585] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (143, 136, 2))
[2018-08-28 23:25:29.622] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (143, 136, 2))
[2018-08-28 23:25:31.562] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (143, 136, 2))
[2018-08-28 23:25:33.586] ATTACK: *no key*/(Terk XVIII) has attacked GreenTea98/(Helps-The-Station) with Barman Recipes: Mixing Drinks and Changing Lives[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 100)  (Bar (143, 136, 2))
[2018-08-28 23:25:55.040] ATTACK: gaminbrobasher/(Keaton Bloise) has attacked Shoeater/(Scotty Lord) with Pride-struck Hammer[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 17.3)  (Central Primary Hallway (129, 129, 2))
[2018-08-28 23:26:06.852] ATTACK: gaminbrobasher/(Keaton Bloise) has handcuffed Shoeater/(Scotty Lord) (NEWHP: 17.3)  (Central Primary Hallway (129, 129, 2))
[2018-08-28 23:26:07.427] ATTACK: gaminbrobasher/(Keaton Bloise) has grabbed Shoeater/(Scotty Lord) passive grab (NEWHP: 17.3)  (Central Primary Hallway (129, 129, 2))
