[2018-09-04 17:45:01.465] Starting up round ID 2174.
[2018-09-04 17:45:01.465] -------------------------
[2018-09-04 18:00:26.219] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:27.723] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:28.227] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:29.230] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:29.766] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:30.222] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:31.720] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:32.762] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:34.722] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:35.235] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:35.720] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:36.756] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:37.227] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:38.224] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:39.217] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:39.757] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:40.226] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:41.609] ATTACK: X1pr0/(Connor Brooks) has attacked *no key*/(Bubbles VII) with circular saw[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 62.5)  (Robotics Lab (167, 119, 2))
[2018-09-04 18:00:42.692] ATTACK: X1pr0/(Connor Brooks) has attacked *no key*/(Bubbles VII) with circular saw[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 51.2)  (Robotics Lab (167, 119, 2))
[2018-09-04 18:00:44.223] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:44.757] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:45.217] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:45.731] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:48.232] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:49.721] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:53.755] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:54.251] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:54.753] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:55.230] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:55.733] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:57.721] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:01:01.774] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:01:02.724] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:01:03.437] ATTACK: X1pr0/(Connor Brooks) has operated on *no key*/(Bubbles VII) (OPERATION TYPE: amputation) (TARGET AREA: head) (NEWHP: 51.2)  (Robotics Lab (167, 119, 2))
