[2018-09-08 00:47:31.959] Starting up round ID 2204.
[2018-09-08 00:47:31.959] -------------------------
[2018-09-08 01:01:01.418] ATTACK: Angryman666/(Avery Seelig) has attacked APersonsName222/(Pavlo Asterton) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -9.2)  (Robotics Lab (118, 81, 2))
[2018-09-08 01:01:02.281] ATTACK: Angryman666/(Avery Seelig) has attacked APersonsName222/(Pavlo Asterton) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -20.5)  (Robotics Lab (118, 81, 2))
[2018-09-08 01:01:03.083] ATTACK: Angryman666/(Avery Seelig) has attacked APersonsName222/(Pavlo Asterton) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -35.5)  (Robotics Lab (118, 81, 2))
[2018-09-08 01:01:03.964] ATTACK: Angryman666/(Avery Seelig) has attacked APersonsName222/(Pavlo Asterton) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -50.5)  (Robotics Lab (118, 81, 2))
[2018-09-08 01:01:04.908] ATTACK: Angryman666/(Avery Seelig) has attacked APersonsName222/(Pavlo Asterton) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -65.5)  (Robotics Lab (118, 81, 2))
[2018-09-08 01:01:05.845] ATTACK: Angryman666/(Avery Seelig) has attacked APersonsName222/(Pavlo Asterton) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -76.7)  (Robotics Lab (118, 81, 2))
[2018-09-08 01:01:09.175] ATTACK: Angryman666/(Avery Seelig) has grabbed APersonsName222/(Pavlo Asterton) passive grab (NEWHP: -78.1)  (Robotics Lab (118, 81, 2))
[2018-09-08 01:01:22.641] ATTACK: GreenTea98/(Helps-The-Station) has thrown the station blueprints (Chief Engineer's Office (157, 142, 2))
[2018-09-08 01:02:08.443] ATTACK: Angryman666/(Avery Seelig) has grabbed bilary/(E.N.C.H.A.N.C.E) passive grab (NEWHP: 100)  (Central Primary Hallway (114, 114, 2))
[2018-09-08 01:02:55.197] ATTACK: Smarrazzo/(Tyrone Gibbs) has thrown the glass (Hydroponics (139, 113, 2))
[2018-09-08 01:02:57.697] ATTACK: Smarrazzo/(Tyrone Gibbs) has thrown the metal rod (Hydroponics (139, 113, 2))
[2018-09-08 01:03:06.768] ATTACK: Angryman666/(Avery Seelig) has attacked APersonsName222/(Pavlo Asterton) with circular saw[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -115.1)  (Robotics Lab (112, 81, 2))
[2018-09-08 01:03:07.699] ATTACK: Angryman666/(Avery Seelig) has attacked *no key*/(Pavlo Asterton) with circular saw[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -180.1)  (Robotics Lab (112, 81, 2))
[2018-09-08 01:03:13.891] ATTACK: Bobcat49/(Rose White) has thrown Barman Recipes: Mixing Drinks and Changing Lives (Bar (134, 134, 2))
[2018-09-08 01:03:26.259] ATTACK: Bobcat49/(Rose White) has grabbed *no key*/(Grodd V) passive grab (NEWHP: 100)  (Bar (131, 130, 2))
[2018-09-08 01:03:27.006] ATTACK: Juicy_Chicken/(Pyre Smoke) has thrown the �Smoke family d20 (Armory (107, 178, 2))
[2018-09-08 01:03:29.499] ATTACK: Angryman666/(Avery Seelig) has attacked [exosuit fabricator] with [metal] (Robotics Lab (116, 85, 2))
[2018-09-08 01:04:20.829] ATTACK: bilary/(E.N.C.H.A.N.C.E) has fired at [robotics control console] with [laser] from Research Division (Research Division (119, 97, 2))
[2018-09-08 01:04:21.397] ATTACK: bilary/(E.N.C.H.A.N.C.E) has fired at [robotics control console] with [laser] from Research Division (Research Division (119, 97, 2))
[2018-09-08 01:04:21.829] ATTACK: bilary/(E.N.C.H.A.N.C.E) has fired at [robotics control console] with [laser] from Research Division (Research Division (119, 97, 2))
[2018-09-08 01:04:22.275] ATTACK: bilary/(E.N.C.H.A.N.C.E) has fired at [robotics control console] with [laser] from Research Division (Research Division (119, 97, 2))
[2018-09-08 01:04:22.755] ATTACK: bilary/(E.N.C.H.A.N.C.E) has fired at [robotics control console] with [laser] from Research Division (Research Division (119, 97, 2))
[2018-09-08 01:04:23.296] ATTACK: bilary/(E.N.C.H.A.N.C.E) has fired at [robotics control console] with [laser] from Research Division (Research Division (119, 97, 2))
[2018-09-08 01:04:31.065] ATTACK: Bobcat49/(Rose White) has touched Bobcat49/(Rose White) with a damp rag containing [DC] (NEWHP: 100)  (Bar (131, 130, 2))
[2018-09-08 01:04:48.620] ATTACK: Juicy_Chicken/(Pyre Smoke) has fired at [floor] with [ion bolt] from Brig (Brig (104, 167, 2))
[2018-09-08 01:04:49.310] ATTACK: Juicy_Chicken/(Pyre Smoke) has fired at [floor] with [ion bolt] from Brig (Brig (108, 167, 2))
[2018-09-08 01:04:49.312] ATTACK: Juicy_Chicken/(Pyre Smoke) has shot bilary/(E.N.C.H.A.N.C.E) with [ion bolt] (NEWHP: 100)  (Brig (108, 167, 2))
[2018-09-08 01:04:49.313] ATTACK: Juicy_Chicken/(Pyre Smoke) was flashed(AOE) (Brig (108, 167, 2))
[2018-09-08 01:04:49.323] ATTACK: Juicy_Chicken/(Pyre Smoke) was flashed(AOE) (Brig (108, 167, 2))
[2018-09-08 01:04:49.327] ATTACK: Juicy_Chicken/(Pyre Smoke) was flashed(AOE) (Brig (108, 167, 2))
[2018-09-08 01:04:50.477] ATTACK: Juicy_Chicken/(Pyre Smoke) has fired at [floor] with [ion bolt] from Brig (Brig (117, 167, 2))
[2018-09-08 01:04:51.394] ATTACK: Juicy_Chicken/(Pyre Smoke) has fired at [floor] with [ion bolt] from Brig (Brig (110, 167, 2))
[2018-09-08 01:04:51.530] ATTACK: Juicy_Chicken/(Pyre Smoke) has shot bilary/(E.N.C.H.A.N.C.E) with [ion bolt] (NEWHP: 80)  (Brig (110, 167, 2))
[2018-09-08 01:04:51.999] ATTACK: Juicy_Chicken/(Pyre Smoke) has fired at [floor] with [ion bolt] from Brig (Brig (110, 167, 2))
[2018-09-08 01:04:52.133] ATTACK: Juicy_Chicken/(Pyre Smoke) has shot bilary/(E.N.C.H.A.N.C.E) with [ion bolt] (NEWHP: 60)  (Brig (110, 167, 2))
[2018-09-08 01:04:52.713] ATTACK: Juicy_Chicken/(Pyre Smoke) has fired at bilary/(E.N.C.H.A.N.C.E) with [ion bolt] from Brig (NEWHP: 40)  (Brig (110, 167, 2))
[2018-09-08 01:04:52.831] ATTACK: Juicy_Chicken/(Pyre Smoke) has shot bilary/(E.N.C.H.A.N.C.E) with [ion bolt] (NEWHP: 40)  (Brig (110, 167, 2))
[2018-09-08 01:04:53.170] ATTACK: Juicy_Chicken/(Pyre Smoke) has fired at bilary/(E.N.C.H.A.N.C.E) with [ion bolt] from Brig (NEWHP: 20)  (Brig (110, 167, 2))
[2018-09-08 01:04:53.283] ATTACK: Juicy_Chicken/(Pyre Smoke) has shot bilary/(E.N.C.H.A.N.C.E) with [ion bolt] (NEWHP: 20)  (Brig (109, 167, 2))
[2018-09-08 01:04:53.879] ATTACK: Juicy_Chicken/(Pyre Smoke) has fired at bilary/(E.N.C.H.A.N.C.E) with [ion bolt] from Brig (NEWHP: 0)  (Brig (109, 167, 2))
[2018-09-08 01:04:53.932] ATTACK: Juicy_Chicken/(Pyre Smoke) has shot bilary/(E.N.C.H.A.N.C.E) with [ion bolt] (NEWHP: 0)  (Brig (109, 167, 2))
[2018-09-08 01:04:54.317] ATTACK: Juicy_Chicken/(Pyre Smoke) has fired at bilary/(E.N.C.H.A.N.C.E) with [ion bolt] from Brig (NEWHP: -20)  (Brig (109, 167, 2))
[2018-09-08 01:04:54.384] ATTACK: Juicy_Chicken/(Pyre Smoke) has shot bilary/(E.N.C.H.A.N.C.E) with [ion bolt] (NEWHP: -20)  (Brig (109, 167, 2))
[2018-09-08 01:04:54.750] ATTACK: Juicy_Chicken/(Pyre Smoke) has fired at bilary/(E.N.C.H.A.N.C.E) with [ion bolt] from Brig (NEWHP: -40)  (Brig (109, 167, 2))
[2018-09-08 01:04:54.833] ATTACK: Juicy_Chicken/(Pyre Smoke) has shot bilary/(E.N.C.H.A.N.C.E) with [ion bolt] (NEWHP: -40)  (Brig (109, 167, 2))
[2018-09-08 01:04:58.159] ATTACK: Juicy_Chicken/(Pyre Smoke) has fired at bilary/(E.N.C.H.A.N.C.E) with [buckshot pellet] from Brig (NEWHP: -60)  (Brig (109, 167, 2))
[2018-09-08 01:04:58.160] ATTACK: Juicy_Chicken/(Pyre Smoke) has fired at bilary/(E.N.C.H.A.N.C.E) with [buckshot pellet] from Brig (NEWHP: -60)  (Brig (109, 167, 2))
