[2018-08-19 16:01:34.135] Starting up round ID 2002.
[2018-08-19 16:01:34.136] -------------------------
[2018-08-19 16:24:21.542] ATTACK: ChippedIce/(Hana Robusto) has shot Ceanox/(Berna Mandys P.I) with [infernal fireball] (NEWHP: 90)  (Fore Primary Hallway (113, 161, 2))
[2018-08-19 16:24:27.120] ATTACK: Ceanox/(Berna Mandys P.I) has stunned ChippedIce/(Hana Robusto) with [police baton] (NEWHP: 84.3)  (Fore Primary Hallway (114, 146, 2))
[2018-08-19 16:24:27.318] ATTACK: ChippedIce/(Hana Robusto) <span class='danger'>cast the spell Infernal Jaunt.</span> (Fore Primary Hallway (114, 146, 2))
[2018-08-19 16:24:32.292] ATTACK: ChippedIce/(Hana Robusto) <span class='danger'>cast the spell Hellfire.</span> (Central Primary Hallway (98, 126, 2))
[2018-08-19 16:24:32.293] ATTACK: ChippedIce/(Hana Robusto) has fired at [floor] with [infernal fireball] from Central Primary Hallway (Central Primary Hallway (98, 126, 2))
[2018-08-19 16:24:32.295] ATTACK: ChippedIce/(Hana Robusto) has shot Ceanox/(Berna Mandys P.I) with [infernal fireball] (NEWHP: 47.7)  (Central Primary Hallway (98, 126, 2))
[2018-08-19 16:24:38.956] ATTACK: Ceanox/(Berna Mandys P.I) has stunned ChippedIce/(Hana Robusto) with [police baton] (NEWHP: 56.65)  (Central Primary Hallway (96, 135, 2))
[2018-08-19 16:24:41.827] ATTACK: Ceanox/(Berna Mandys P.I) has attacked [�Central Primary Hallway vent pump #2] with [police baton] (Central Primary Hallway (97, 140, 2))
[2018-08-19 16:24:43.497] ATTACK: Ceanox/(Berna Mandys P.I) has stunned ChippedIce/(Hana Robusto) with [police baton] (NEWHP: 53.15)  (Central Primary Hallway (101, 140, 2))
[2018-08-19 16:24:44.421] ATTACK: ChippedIce/(Hana Robusto) <span class='danger'>cast the spell Hellfire.</span> (Central Primary Hallway (102, 140, 2))
[2018-08-19 16:24:44.422] ATTACK: ChippedIce/(Hana Robusto) has fired at [�HIGH VOLTAGE] with [infernal fireball] from Central Primary Hallway (Central Primary Hallway (102, 140, 2))
[2018-08-19 16:24:44.424] ATTACK: ChippedIce/(Hana Robusto) has shot Ceanox/(Berna Mandys P.I) with [infernal fireball] (NEWHP: 2.1)  (Central Primary Hallway (102, 140, 2))
[2018-08-19 16:24:59.459] ATTACK: Bilary/(Lara Black) <span class='danger'>cast the spell Distant vision.</span> (Fore Primary Hallway (112, 151, 2))
[2018-08-19 16:25:08.660] ATTACK: BuckyBoy/(Beau Richards) has grabbed ChippedIce/(Hana Robusto) passive grab (NEWHP: 3.14999)  (Central Primary Hallway (99, 141, 2))
