[2018-08-31 00:33:13.222] Starting up round ID 2134.
[2018-08-31 00:33:13.222] -------------------------
[2018-08-31 00:40:24.164] ATTACK: SaltyScabbard/(Slippy Joe) has shaked Shoeater/(Scotty Lord) (NEWHP: 100)  (Bar (136, 133, 2))
[2018-08-31 00:40:24.900] ATTACK: ChippedIce/(Hana Robusto) has attacked [grille] with [fire extinguisher] (Starboard Primary Hallway (137, 130, 2))
[2018-08-31 00:40:25.130] ATTACK: Shoeater/(Scotty Lord) has grabbed *no key*/(Terk XXXVI) passive grab (NEWHP: 92.5)  (Bar (136, 132, 2))
[2018-08-31 00:40:25.132] ATTACK: *no key*/(Terk XXXVI) has tackled Shoeater/(Scotty Lord) (NEWHP: 100)  (Bar (137, 132, 2))
[2018-08-31 00:40:25.983] ATTACK: ChippedIce/(Hana Robusto) has attacked [grille] with [fire extinguisher] (Starboard Primary Hallway (137, 130, 2))
[2018-08-31 00:40:27.319] ATTACK: ChippedIce/(Hana Robusto) has attacked [grille] with [fire extinguisher] (Starboard Primary Hallway (137, 130, 2))
[2018-08-31 00:40:27.921] ATTACK: SaltyScabbard/(Slippy Joe) has shaked Jaedo/(Amiyah McDonald) (NEWHP: 79.1)  (Bar (138, 133, 2))
[2018-08-31 00:40:28.244] ATTACK: ChippedIce/(Hana Robusto) has attacked [grille] with [fire extinguisher] (Starboard Primary Hallway (137, 130, 2))
[2018-08-31 00:40:29.318] ATTACK: SaltyScabbard/(Slippy Joe) has shaked Shoeater/(Scotty Lord) (NEWHP: 100)  (Bar (137, 133, 2))
[2018-08-31 00:40:29.601] ATTACK: Shoeater/(Scotty Lord) has grabbed *no key*/(Terk XXXVI) passive grab (NEWHP: 92.5)  (Bar (136, 132, 2))
[2018-08-31 00:40:29.604] ATTACK: *no key*/(Terk XXXVI) has tackled Shoeater/(Scotty Lord) (NEWHP: 100)  (Bar (137, 132, 2))
[2018-08-31 00:40:30.609] ATTACK: SaltyScabbard/(Slippy Joe) has shaked Shoeater/(Scotty Lord) (NEWHP: 100)  (Bar (137, 133, 2))
[2018-08-31 00:40:30.738] ATTACK: ChippedIce/(Hana Robusto) has grabbed Shoeater/(Scotty Lord) passive grab (NEWHP: 100)  (Bar (137, 131, 2))
[2018-08-31 00:40:32.759] ATTACK: ChippedIce/(Hana Robusto) has shaked Shoeater/(Scotty Lord) (NEWHP: 100)  (Starboard Primary Hallway (137, 128, 2))
[2018-08-31 00:40:35.223] ATTACK: Shoeater/(Scotty Lord) has grabbed *no key*/(Terk XXXVI) passive grab (NEWHP: 92.5)  (Bar (137, 131, 2))
[2018-08-31 00:40:35.226] ATTACK: *no key*/(Terk XXXVI) has tackled Shoeater/(Scotty Lord) (NEWHP: 100)  (Bar (137, 132, 2))
[2018-08-31 00:40:36.603] ATTACK: ChippedIce/(Hana Robusto) has shaked Shoeater/(Scotty Lord) (NEWHP: 100)  (Starboard Primary Hallway (137, 130, 2))
[2018-08-31 00:40:41.620] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(Terk XXXVI) (NEWHP: 77.5)  (Bar (136, 132, 2))
[2018-08-31 00:40:42.101] ATTACK: Shoeater/(Scotty Lord) has stunned *no key*/(Terk XXXVI) (NEWHP: 77.5)  (Starboard Primary Hallway (137, 130, 2))
[2018-08-31 00:40:42.908] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(Terk XXXVI) (NEWHP: 70.7)  (Bar (136, 132, 2))
[2018-08-31 00:40:43.060] ATTACK: Shoeater/(Scotty Lord) has stunned *no key*/(Terk XXXVI) (NEWHP: 70.7)  (Starboard Primary Hallway (137, 130, 2))
[2018-08-31 00:40:44.006] ATTACK: Shoeater/(Scotty Lord) has stunned *no key*/(Terk XXXVI) (NEWHP: 70.7)  (Starboard Primary Hallway (137, 130, 2))
[2018-08-31 00:40:46.153] ATTACK: Shoeater/(Scotty Lord) has stunned *no key*/(Terk XXXVI) (NEWHP: 70.7)  (Starboard Primary Hallway (137, 130, 2))
[2018-08-31 00:40:48.611] ATTACK: SaltyScabbard/(Slippy Joe) has attacked *no key*/(Terk XXXVI) (NEWHP: 56.7)  (Bar (137, 132, 2))
[2018-08-31 00:40:50.008] ATTACK: Shoeater/(Scotty Lord) has grabbed *no key*/(Terk XXXVI) passive grab (NEWHP: 56.7)  (Starboard Primary Hallway (137, 130, 2))
[2018-08-31 00:40:52.110] ATTACK: Jaedo/(Amiyah McDonald) has grabbed SaltyScabbard/(Slippy Joe) passive grab (NEWHP: 85)  (Bar (137, 132, 2))
[2018-08-31 00:40:58.427] ATTACK: Shoeater/(Scotty Lord) has grabbed *no key*/(Terk XXXVI) aggressive grab (NEWHP: 56.7)  (Medbay Central (139, 125, 2))
[2018-08-31 00:41:01.268] ATTACK: Jaedo/(Amiyah McDonald) has grabbed SaltyScabbard/(Slippy Joe) passive grab (NEWHP: 85)  (Medbay Central (141, 124, 2))
[2018-08-31 00:41:05.591] ATTACK: Jaedo/(Amiyah McDonald) has grabbed SaltyScabbard/(Slippy Joe) passive grab (NEWHP: 85)  (Medbay Central (140, 119, 2))
[2018-08-31 00:41:13.593] ATTACK: SaltyScabbard/(Slippy Joe) has thrown PDA-Slippy Joe (Clown) (Medbay Central (135, 117, 2))
[2018-08-31 00:41:13.694] ATTACK: Jaedo/(Amiyah McDonald) has slipped on the [PDA-Slippy Joe (Clown)] (Medbay Central (138, 118, 2))
[2018-08-31 00:41:15.405] ATTACK: Shoeater/(Scotty Lord) has injected morphine into *no key*/(Terk XXXVI) via the sleeper (NEWHP: 56.7)  (Medbay Treatment Center (140, 114, 2))
[2018-08-31 00:41:15.641] ATTACK: Shoeater/(Scotty Lord) has injected morphine into *no key*/(Terk XXXVI) via the sleeper (NEWHP: 56.7)  (Medbay Treatment Center (140, 114, 2))
[2018-08-31 00:41:18.013] ATTACK: SaltyScabbard/(Slippy Joe) has attacked Jaedo/(Amiyah McDonald) with �Joe family golden bike horn[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 79.1)  (Medbay Central (139, 117, 2))
[2018-08-31 00:41:25.399] ATTACK: SaltyScabbard/(Slippy Joe) has slipped on the [floor] (LUBE) (Starboard Primary Hallway (132, 129, 2))
[2018-08-31 00:41:25.649] ATTACK: SaltyScabbard/(Slippy Joe) has slipped on the [soap] (Central Primary Hallway (131, 129, 2))
[2018-08-31 00:41:28.830] ATTACK: Jaedo/(Amiyah McDonald) has grabbed Shoeater/(Scotty Lord) passive grab (NEWHP: 100)  (Medbay Treatment Center (140, 115, 2))
[2018-08-31 00:41:37.285] ATTACK: Jaedo/(Amiyah McDonald) has grabbed Shoeater/(Scotty Lord) passive grab (NEWHP: 100)  (Medbay Treatment Center (140, 114, 2))
[2018-08-31 00:41:38.364] ATTACK: Jaedo/(Amiyah McDonald) has grabbed Shoeater/(Scotty Lord) aggressive grab (NEWHP: 100)  (Medbay Treatment Center (140, 114, 2))
[2018-08-31 00:41:39.393] ATTACK: Jaedo/(Amiyah McDonald) has attempted to neck grab Shoeater/(Scotty Lord) neck grab (NEWHP: 100)  (Medbay Treatment Center (140, 114, 2))
[2018-08-31 00:41:42.354] ATTACK: Jaedo/(Amiyah McDonald) has grabbed Shoeater/(Scotty Lord) neck grab (NEWHP: 100)  (Medbay Treatment Center (140, 114, 2))
[2018-08-31 00:41:43.984] ATTACK: Jaedo/(Amiyah McDonald) has attempted to strangle Shoeater/(Scotty Lord) kill grab (NEWHP: 100)  (Medbay Treatment Center (140, 114, 2))
[2018-08-31 00:41:44.406] ATTACK: Jaedo/(Amiyah McDonald) has broke grab Shoeater/(Scotty Lord) (NEWHP: 100)  (Medbay Treatment Center (140, 114, 2))
[2018-08-31 00:41:47.520] ATTACK: Shoeater/(Scotty Lord) has stunned Jaedo/(Amiyah McDonald) (NEWHP: 79.1)  (Medbay Treatment Center (144, 114, 2))
[2018-08-31 00:41:51.798] ATTACK: Shoeater/(Scotty Lord) has grabbed Jaedo/(Amiyah McDonald) passive grab (NEWHP: 79.1)  (Medbay Treatment Center (142, 114, 2))
[2018-08-31 00:41:52.804] ATTACK: Shoeater/(Scotty Lord) has grabbed Jaedo/(Amiyah McDonald) aggressive grab (NEWHP: 79.1)  (Medbay Treatment Center (142, 114, 2))
[2018-08-31 00:41:53.900] ATTACK: Shoeater/(Scotty Lord) has pushed Jaedo/(Amiyah McDonald) (NEWHP: 69.1)  (Medbay Treatment Center (142, 114, 2))
[2018-08-31 00:41:55.151] ATTACK: Shoeater/(Scotty Lord) has grabbed Jaedo/(Amiyah McDonald) passive grab (NEWHP: 69.1)  (Medbay Treatment Center (142, 114, 2))
[2018-08-31 00:41:57.604] ATTACK: Shoeater/(Scotty Lord) has grabbed Jaedo/(Amiyah McDonald) aggressive grab (NEWHP: 69.1)  (Medbay Treatment Center (147, 114, 2))
[2018-08-31 00:41:59.277] ATTACK: Shoeater/(Scotty Lord) has pushed Jaedo/(Amiyah McDonald) (NEWHP: 61.6)  (Medbay Treatment Center (147, 114, 2))
[2018-08-31 00:42:02.374] ATTACK: Shoeater/(Scotty Lord) has grabbed Jaedo/(Amiyah McDonald) passive grab (NEWHP: 61.6)  (Medbay Treatment Center (146, 114, 2))
